bmi,sex,age,quantile,Belgium,Bulgaria,Czechia,Germany,Estonia,Ireland,Spain,France,Cyprus,Latvia,Luxembourg,Malta,Austria,Poland,Romania,Slovenia,Slovakia,Turkey
18.5-25,F,Y65-74,QU1,34.1,31.1,25.6,30.7,26.6,28.0,23.6,:,25.6,:,22,20.6,26.6,27,40.8,24.1,22.5,29.7
18.5-25,F,Y65-74,QU2,50.6,32.4,20.9,42.7,25.5,14.9,24.6,:,29.9,22.2,20.1,17.2,41,27.9,41.8,35.3,23.6,22.1
18.5-25,F,Y65-74,QU3,28.3,35,20.6,31.3,21.9,33.6,32.7,:,38.7,20,31,:,38.9,27.8,:,:,27.6,21.4
18.5-25,F,Y65-74,QU4,26,33.4,:,44.1,35.4,28.7,44.1,:,:,18.1,23.4,:,38.6,33.1,:,:,:,23.1
18.5-25,F,Y65-74,QU5,51.3,24.6,:,46.1,30.1,:,45.1,:,:,:,39.9,:,38.5,31.4,:,:,:,16.5
18.5-25,F,Y65-74,TOTAL,39.8,31,24.1,37.7,27,22.9,29.7,46.7,28.8,21.2,26.3,31.9,35.4,28.4,41.1,29,23.8,24.3
18.5-25,F,Y_GE75,QU1,48.5,45.5,32.7,36.1,37,32,30.0,:,39.4,:,38,:,41.9,37.8,58.9,42.6,25.2,50.2
18.5-25,F,Y_GE75,QU2,46.1,40.7,17.2,34.7,31.9,26.7,33.2,:,38.4,33.6,44,18.2,40.6,32.3,60,:,34.0,43.9
18.5-25,F,Y_GE75,QU3,42.6,32.8,:,:c,35.1,40.8,39.1,:,:,22.9,30.4,:,37.7,29.6,:,:,:,66.7
18.5-25,F,Y_GE75,QU4,38.9,48.9,:,:c,34.4,:,27.3,:,:,:,48.6,:,46,39.4,:,:,:,43.5
18.5-25,F,Y_GE75,QU5,71.5,32.7,:,:c,20.0,:,26.7,:,:,:,:,:,52.1,37.5,:,:,:,16.1
